título,descripción,fecha
"Evento: Estudiante Inicio","Periodo solicitud académica de Desinscripción de asignaturas (Estudiantes pregrado diurno)","22-07-2025"
"Evento: Estudiante Inicio","Inscripción de asignaturas 2025‑2, para Carreras de pregrado diurno y programas de postgrado científico‑tecnológico.","22-07-2025"
"Evento: Estudiante Término","Inscripción de asignaturas 2025‑2, para Carreras de pregrado diurno y programas de postgrado científico‑tecnológico.","31-07-2025"
"Evento: Comunidad ","Resultados postulación a especialidad en plataforma SIGA de Estudiantes de Plan Común que cumplan con los requisitos indicados en la circular respectiva.","21-07-2025"
"Evento: Estudiante Término","Proceso Impedimentos Académicos 2025‑1.","17-07-2025"
"Evento: Estudiante Término","Periodo solicitud académica Excepción al Reglamento.","17-07-2025"
"Evento: Estudiante Inicio","Proceso Impedimentos Académicos 2025‑1.","15-07-2025"
"Evento: Estudiante Inicio","Periodo solicitud académica Excepción al Reglamento.","15-07-2025"
"Evento: Comunidad ","Inicio de Clases Segundo Semestre 2025 para Carreras de Pregrado Jornada Vespertina (Régimen Semestral)","04-08-2025"
"Evento: Estudiante Término","Ceremonia de Reconocimiento por años de Servicio en la Institución, Teatro Aula Magna, Valparaíso.","08-08-2025"
"Evento: Comunidad Término","Término de Clases Primer Semestre 2025 para Carreras de Pregrado Jornada Vespertina (Régimen Semestral).","08-08-2025"
"Evento: Comunidad ","Ceremonia de bienvenida y jornada de orientación para Estudiantes de intercambio 2do semestre 2025.","30-07-2025"
"Evento: Estudiante Término","Periodo de modificación excepcional Inscripciones, para carreras de pregrado diurno.","09-08-2025"
"Evento: Estudiante Inicio","Periodo de modificación excepcional Inscripciones, para carreras de pregrado diurno.","09-08-2025"
"Evento: Profesor Término","Término de plazo para que profesores ingresen en plataforma AULA calendari zación y sistema de evaluación asignaturas 2025‑2. Estudiantes pregrado vespertino (régimen semestral).","24-09-2025"
"Evento: Comunidad Término","Cierre del proceso de ayudantía para el segundo semestre de 2025.","29-08-2025"
"Evento: Estudiante Inicio","Periodo solicitud académica asociadas a modificaciones de inscripción (sin prerrequisito, cursar otro Campus/Sede, mayor cantidad de créditos). (Estudiantes pregrado vespertino)","01-09-2025"
"Evento: Estudiante Término","Periodo solicitud académica asociadas a modificaciones de inscripción (sin prerrequisito, cursar otro Campus/Sede, mayor cantidad de créditos). (Estudiantes pregrado vespertino)","05-09-2025"
"Evento: Estudiante Inicio","Postulaciones para estudiar en el extranjero para carreras de más de 8 semestres y vespertinas durante 2º semestre académico 2026 y/o 1º semestre académico 2027, en Dirección de Asuntos Internacionales.","01-09-2025"
"Evento: Estudiante Término","Postulaciones para estudiar en el extranjero para carreras de más de 8 semestres y vespertinas durante 2º semestre académico 2026 y/o 1º semestre académico 2027, en Dirección de Asuntos Internacionales.","15-10-2025"
"Evento: Estudiante ","Actualización Calidades Estudiantes (Abandono de Estudios y otras)","01-09-2025"
"Evento: Estudiante ","Muestra Costumbrista","09-09-2025"
"Evento: Comunidad ","Por vacaciones no se realizarán certámenes, controles, entrega de informes ni tareas (Colchón Académico)","22-09-2025"
"Evento: Estudiante Término","Periodo solicitudes académicas asociadas a bajas cargas académicas: Matrícula Sin Ramos y Alumno Regular Dedicación Parcial (Estudiantes pregrado vespertino)","05-12-2025"
"Evento: Estudiante Término","Periodo solicitud académica Rebaja Académica Voluntaria (RAV) (Estudiantes pregrado vespertino)","05-12-2025"
"Evento: Estudiante Término","Plazo de presentación de solicitudes en el 2º semestre académico para ser considerado Estudiante ausente (retiro temporal o congelamiento); retirarse definitivamente de la Universidad sin llevar notas (Estudiantes pregrado vespertino régimen semestral).","05-12-2025"
"Evento: Estudiante Inicio","Plazo de presentación de solicitudes en el 2º semestre académico para ser considerado Estudiante ausente (retiro temporal o congelamiento); retirarse definitivamente de la Universidad sin llevar notas (Estudiantes pregrado vespertino régimen semestral).","18-08-2025"
"Evento: Estudiante Término","Término del plazo para realizar solicitudes de Cambio de Carrera, Traslados a otro Campus/Sede, carreras de pregrado vespertino.","12-09-2025"
"Evento: Estudiante Inicio","Plazo para realizar solicitudes de Cambio de Carrera, Traslados a otro Campus/Sede, carreras de pregrado vespertino.","18-08-2025"
